seqid	start	end
1	212114101	212114229
5	188625114	188625286
6	140672383	140672689
2	134776255	134776386
1	244208330	244208679
7	14395994	14396168
1	211141648	211141811
2	43574605	43574655
7	178727704	178727883
7	161765729	161765880
5	71084490	71084829
6	76047326	76047459
1	73838768	73839001
3	41713918	41714129
6	166359142	166359320
10	109757302	109757458
8	169867623	169867996
6	34767943	34768644
1	25042735	25042912
2	131255773	131256417
7	174098623	174098713
6	73713855	73713975
8	171838770	171839032
3	148917412	148917643
1	17959791	17959896
5	143914489	143914588
3	1466902	1467097
8	11427949	11428033
2	166629664	166630128
1	109307604	109307742
1	53311432	53311561
9	149825410	149825590
5	15690660	15690779
9	157752928	157753049
3	3083054	3083092
6	102048245	102048279
2	209802187	209802352
9	58324	58693
5	223225817	223226124
8	175891542	175891639
7	101660565	101660769
1	205335980	205336132
8	127825638	127825760
7	159796994	159797091
7	128428383	128428537
1	205090388	205090547
1	305592440	305592639
6	160733925	160734183
5	92041673	92041805
1	75287763	75288026
5	222349041	222349417
7	101682442	101682585
3	161358096	161358255
10	23146792	23147117
9	118714186	118714316
8	148353312	148353421
9	72392776	72392905
3	200101568	200101835
9	20950965	20951589
5	132515970	132516053
7	176431947	176432282
7	161220194	161220637
1	46178268	46178621
9	99597109	99597274
3	112450365	112450633
3	122361511	122361653
8	158925953	158926149
7	148127507	148127823
7	35179187	35179285
3	217066052	217066295
1	225834080	225834189
2	204963366	204963502
3	3469108	3469437
9	4091370	4091499
2	14724517	14724663
9	146061537	146061731
6	171770858	171771072
3	146545266	146545514
9	20102606	20102827
6	132313590	132313822
6	149417782	149418089
7	119114608	119114845
3	200434792	200434984
9	110761378	110761532
1	298055333	298055467
3	5708307	5708805
7	109033089	109033287
5	144623077	144623438
6	95016858	95017580
3	196777011	196777578
8	157206587	157207193
8	13624924	13625200
7	178320294	178320737
9	155363210	155363295
1	300607057	300607515
10	131920454	131920640
7	141619074	141619214
1	263974875	263975343
3	227571789	227572053
1	39392734	39393144
1	212113687	212113992
1	182096449	182096675
8	64894685	64895143
