seqid	start	end
2	128632828	128633261
9	76959014	76959170
7	10932639	10932901
1	131996438	131996724
3	151416478	151416845
10	78456402	78456574
8	6124545	6124744
4	186760571	186760695
10	55080526	55080935
6	22292069	22292313
1	80672043	80672515
7	5436070	5436163
7	17854969	17855107
6	168454535	168454676
7	97684286	97684436
1	196518163	196518391
1	117031950	117032157
8	18870367	18870579
6	25221459	25221569
7	40918914	40919315
8	21993377	21993538
6	127809589	127809800
8	45399201	45399885
7	107079454	107079705
9	86113289	86114008
2	14156259	14156398
1	42236261	42236310
1	82409394	82409893
7	8302547	8302628
10	80436997	80437118
5	44299259	44299351
1	23271985	23272023
1	174773333	174773439
3	55866810	55867096
2	169464081	169464711
3	191214249	191214313
2	78843778	78844162
3	9099723	9099898
9	58266305	58266787
2	188401636	188402095
2	161176611	161177223
2	190354503	190354548
1	140500528	140500613
9	152805285	152805384
2	170146914	170147047
3	34835489	34835880
10	13919645	13919819
1	274368651	274368743
7	729332	729485
7	128483279	128483411
9	108238394	108238593
1	164110801	164111256
1	198139759	198139856
5	10826567	10826827
9	140357911	140357983
5	35282721	35282831
1	156753771	156754169
2	41026229	41026333
2	140371789	140372003
7	167319988	167320086
10	130523356	130523446
6	22319380	22319624
3	94139669	94139749
3	57809563	57809973
7	110772357	110772632
10	115119364	115119611
5	29716448	29717014
1	258370401	258370487
5	115375213	115375306
3	131452467	131452692
1	236118675	236118786
7	167722665	167722759
9	10998376	10998633
9	148365376	148365449
3	14631469	14631513
3	221368090	221368361
2	74390234	74390351
1	237006183	237006274
7	21245988	21246039
10	94378291	94378523
10	82427086	82427148
7	589184	589496
2	179796937	179797846
3	2458792	2458878
1	126976287	126976408
7	23762288	23762361
1	190262694	190262778
10	47140408	47140555
B73V4_ctg182	703634	704150
10	17276342	17276715
1	123180249	123180532
1	213249100	213249190
7	155981895	155981966
9	159004331	159004584
2	117223512	117223550
10	3408825	3409082
3	27433204	27433300
3	9149149	9149407
1	29968807	29968975
5	194874015	194874169
10	68052181	68052485
5	198038162	198038439
1	301082913	301083202
5	67436012	67436070
7	125533613	125533740
1	117676797	117676955
3	209729964	209730115
2	164851511	164851647
1	211197011	211197218
1	232665759	232665888
9	95363673	95363754
2	188517152	188517535
3	194043848	194043977
9	5025235	5025344
1	98069165	98069216
5	202118017	202118150
10	67567995	67568068
7	148174962	148175337
5	86810976	86811092
2	178798984	178799069
2	53778198	53778339
3	153223994	153224064
9	2828441	2828716
10	63043284	63043586
8	80616713	80616779
3	195381665	195381732
5	162541487	162541623
5	1879158	1879402
10	99327162	99327334
6	81595006	81595405
1	252068281	252068428
7	92546426	92546595
2	56091570	56091707
3	63819693	63820571
2	32665929	32666000
2	3124307	3124442
1	272300112	272300254
3	135792870	135792984
3	116827549	116827702
5	21119072	21119277
1	190425837	190426419
1	74067584	74068305
6	95556236	95556367
3	15802934	15803021
1	54482484	54482966
2	91971524	91971683
1	120024818	120024922
2	38089443	38089617
7	182732	182840
2	185482524	185483002
1	67605469	67605542
3	29436689	29436781
2	132229174	132229275
8	163203363	163203743
8	105883206	105883323
7	117827142	117827556
2	53730809	53730921
8	170030936	170031031
9	71834119	71835138
1	252381863	252381950
6	114038665	114038896
2	225766620	225766782
2	123635350	123635821
7	142594271	142594453
2	29403147	29403238
2	35897432	35897844
5	10939773	10939877
1	267905437	267905562
5	60044135	60044208
7	150139539	150139779
1	19427186	19427361
5	144345087	144345157
10	262993	263032
1	239474084	239474886
5	62763221	62763737
10	68894533	68894835
6	116431169	116431324
9	76001193	76001320
1	14752020	14752095
7	20698959	20699000
7	35710875	35711272
8	155333513	155333618
5	79236799	79236893
10	127706939	127707585
5	18302179	18302285
3	29800793	29801272
1	261196290	261196478
7	164476233	164476768
6	112982091	112982482
5	23142149	23142730
2	114030570	114030773
2	238213500	238213846
6	103063576	103063821
3	150921050	150921151
2	162589225	162589311
2	238291763	238291845
1	191077997	191078067
2	185583481	185583591
10	65783404	65783473
6	56859271	56860066
3	203644784	203645014
1	279478257	279478399
3	54850807	54850924
1	16416099	16416201
2	941969	942114
5	67363744	67363825
5	144640261	144640386
2	39490720	39490982
2	11979475	11979740
5	131101593	131101895
7	87371891	87372052
2	48583427	48583675
5	194327443	194327550
2	150987268	150987607
5	191210156	191210267
1	686510	687014
10	82007303	82007353
7	51397164	51397375
1	87094878	87094988
8	163154150	163154328
2	161093068	161093743
5	62481973	62482132
6	66373801	66373893
1	198001620	198001748
10	72354580	72354684
10	96596486	96596689
9	150410048	150410122
9	126282939	126283032
8	45766101	45766234
9	100975700	100975814
7	128705241	128705401
1	209082613	209083104
3	15539147	15539308
1	284475835	284476107
7	124957767	124958244
1	295336605	295336942
2	46233278	46233370
7	43837096	43837513
3	226202247	226202327
1	2424379	2424493
2	217112579	217113171
5	114791758	114792324
10	54296081	54296154
8	167839882	167840031
5	60250877	60250948
8	161049888	161050289
1	204983087	204983408
1	109523036	109523141
9	152432505	152432896
6	28968372	28969386
1	104671812	104671911
1	142164774	142164959
10	117114202	117114276
3	98487530	98487676
8	119057491	119058005
3	7756621	7756815
2	139716654	139717258
3	134796666	134797262
10	36137554	36138058
1	55056575	55056671
7	83693361	83693867
5	101137326	101137927
10	108123398	108123735
10	101431899	101432002
9	127552660	127552910
9	126612660	126613187
3	167840371	167840580
5	166699189	166699281
6	25982750	25983231
3	47562546	47563014
5	45789144	45789269
2	115858089	115858549
9	103542499	103542652
1	149660531	149660593
2	35059670	35060015
7	180487923	180488032
9	65929002	65929711
6	104284775	104284880
3	194065042	194065119
6	16572758	16573379
2	108326180	108326742
8	89430358	89430456
3	23068562	23068942
1	179412117	179412360
3	117753811	117754007
1	26865422	26865504
8	116185360	116185869
6	103139593	103141279
1	252650274	252650381
9	26982280	26982617
3	18214337	18214730
10	66954192	66954300
1	211065325	211065418
8	36120400	36120920
3	168261272	168261356
3	182413090	182413180
5	190971152	190971253
7	26989771	26989901
9	120106003	120106076
6	5913327	5913585
7	64773228	64773388
10	139329371	139329860
9	120346172	120346278
8	115416304	115416350
6	103954941	103955056
2	211146454	211146657
2	101254058	101254240
6	113764519	113764775
3	15799555	15799717
3	210106576	210106639
8	29033707	29033877
6	83863710	83864115
2	184102706	184102788
7	27240662	27240853
3	136995696	136995799
5	163445649	163445860
10	127914111	127914189
7	111198821	111198910
1	211196705	211196912
9	152632790	152633006
10	82659824	82659993
6	169136803	169136878
7	41109577	41109652
8	246025	246144
2	184409433	184409728
8	61802491	61802690
1	208213857	208213908
8	40629272	40629375
9	16559348	16559430
9	41049796	41050081
2	144814358	144814527
10	142440612	142440738
5	148671743	148672564
1	211197619	211197826
5	22369319	22369489
2	15974039	15974115
5	42673314	42673419
1	96473600	96473684
5	72144910	72144985
8	67101819	67101886
6	109089809	109090313
