seqid	start	end
4	118950145	118950558
10	9922281	9926424
8	171949251	171956492
4	53033261	53033547
2	58630976	58632548
1	90320599	90324410
7	137182996	137183213
1	279122352	279122520
10	92135073	92135304
8	105571197	105571472
4	31224065	31224222
7	28359376	28359806
2	239668892	239668995
6	160864038	160864388
3	101292117	101292347
5	223286843	223288997
10	145807530	145807726
7	79093240	79093538
10	144230199	144230257
9	134460211	134461442
1	272562283	272566094
1	305737255	305739331
3	7238500	7239008
1	11972787	11973140
5	21957873	21958212
4	46812777	46813000
4	12891502	12891635
5	96697484	96697540
5	2994425	2994807
3	38199156	38199702
B73V4_ctg56	487039	490484
1	85473799	85473899
9	4304692	4305218
1	152334990	152335086
7	11864192	11868115
5	48288417	48292611
3	159082228	159082955
4	40516348	40520630
2	64589476	64590880
7	128715382	128716435
7	129498662	129498741
1	6138583	6140348
1	278735726	278735851
3	196063975	196065619
4	143533715	143535049
6	75719661	75719755
7	6930039	6930114
5	74537848	74539842
2	23465404	23465851
1	71671300	71671386
5	104197916	104201865
9	25754055	25754132
1	198531316	198531349
3	195412234	195412518
3	150116466	150123781
4	31940865	31947941
8	129173531	129175728
6	169311523	169311594
5	194087156	194087391
7	78859984	78860103
9	11141295	11142125
3	201836838	201836992
4	5008252	5008837
4	237055223	237058213
1	190187991	190191593
2	178929587	178930089
10	12913292	12916030
4	168597027	168598504
4	139261281	139262503
2	186920965	186921951
5	200708906	200709131
6	61888245	61888326
4	222245049	222245704
4	127012017	127014543
1	50213393	50213614
1	238226072	238226161
10	120577136	120577300
7	117462228	117462393
1	272622836	272623668
9	157535139	157535376
4	246249297	246249943
3	8853432	8853690
10	114133652	114135902
10	101431105	101431760
10	101431105	101431760
1	200713195	200714015
2	63418045	63418645
2	63418045	63418645
3	25597363	25598814
10	59265699	59266322
5	220810860	220816011
3	173085700	173085916
4	242005156	242005499
7	178465968	178466492
1	297935652	297936817
2	89285530	89286181
3	221795623	221795757
2	173815050	173816576
1	42121797	42121850
2	49880157	49887026
3	183997464	184003746
10	149705748	149706155
5	47375051	47375267
8	67548129	67554291
3	27179016	27179386
10	21510792	21511643
10	12533397	12534086
2	172156231	172157058
1	12432959	12433619
7	44540830	44540980
10	21495261	21495335
3	34383679	34383847
5	201007138	201007335
2	146021216	146021442
8	47149532	47149977
7	130368750	130368842
3	30088742	30089227
7	146552346	146552411
4	11793775	11795789
4	167039436	167040228
4	19657864	19657912
4	130863679	130863726
6	124700300	124701823
10	75768595	75771870
6	150022569	150022806
3	211621927	211623611
3	218454816	218455930
6	148444342	148444691
5	32209945	32210075
6	173059160	173059358
4	4146526	4146620
3	94802745	94809874
5	25664343	25669050
5	25664343	25669050
4	100620848	100621427
6	100235130	100235517
4	49301219	49302426
3	7755859	7756145
7	158530653	158531399
5	11704500	11704601
1	244948753	244949144
9	50652448	50652489
2	113289	113420
10	987209	987288
1	289821119	289821161
1	306281668	306281912
5	140453059	140453890
2	17439234	17445480
7	96793768	96794391
B73V4_ctg170	61031	61195
6	98538936	98539560
10	101018320	101018421
6	124699434	124699968
2	224020726	224021318
9	12489642	12494017
3	183076038	183076455
9	134469346	134470115
7	133914607	133915384
9	148358674	148358751
10	138533443	138533990
10	138533443	138533990
4	124415199	124416097
9	154131697	154131746
9	154131697	154131746
2	25539209	25539888
7	60516788	60516832
2	97656105	97656885
1	202080769	202081991
3	207181274	207181344
1	1259497	1260094
1	118776702	118776915
9	117401801	117401864
7	174456622	174456776
6	91337415	91338091
4	4706183	4706301
9	112760475	112760618
3	100869859	100869978
4	187876412	187876679
2	161577602	161577663
5	26159494	26161776
10	100231399	100231895
4	222980248	222981762
2	15303053	15303122
1	166925220	166925645
7	87796011	87796817
2	214094647	214094849
6	158611129	158611351
7	22842785	22843397
4	6610057	6610127
1	78531700	78538547
10	131140195	131140241
3	47691143	47691190
4	230460288	230460635
8	33632964	33636765
6	144238204	144238322
10	135341593	135341652
2	231183425	231184165
8	102624671	102624865
9	5993537	5996779
2	116608215	116608295
1	103857355	103860385
1	103857355	103860385
1	120803298	120804056
