seqid	start	end
8	67477834	67477956
1	73838768	73839001
4	201149345	201149414
4	3250281	3250511
9	129170651	129170901
4	234705191	234705270
5	65575154	65575602
2	189446319	189446627
10	112935321	112935588
6	287924	288111
10	99650886	99651029
4	39882526	39882725
3	191236267	191236417
2	49336377	49336494
4	58239304	58239856
2	233991617	233991725
4	168947862	168947968
1	13076140	13076370
7	24770401	24770641
10	20024736	20024939
3	106916795	106917069
8	170759803	170760060
6	97587188	97587325
4	156363459	156363705
8	112779720	112779787
6	53443337	53443413
4	208161322	208162848
1	302145112	302145322
6	115756656	115756862
1	69721376	69721505
8	150234358	150234687
1	197550995	197551097
2	14788963	14789150
2	182614878	182614948
6	170087158	170087386
9	137995530	137995885
6	168766591	168766715
10	149054235	149054472
5	170768283	170768419
4	243653385	243653470
1	176548550	176548681
4	32252506	32252748
2	199638578	199638655
10	139272554	139272704
7	166000797	166000966
4	12847696	12847739
4	162697881	162697982
1	261224583	261224732
3	152610792	152611007
5	61272360	61272435
5	181374128	181374332
4	65819667	65819863
8	68048453	68048598
7	157097461	157097617
3	161480510	161480701
6	138653742	138653842
1	30348282	30348330
4	225475316	225476540
5	18989993	18990199
2	184174438	184174989
9	125667572	125667921
10	90232548	90232768
6	127623886	127628762
1	269358487	269358565
5	204108483	204108578
5	193525369	193525560
3	115204434	115204496
4	164239555	164240384
10	54991460	54991601
8	178366882	178367536
4	33219297	33219524
3	175975246	175975442
2	16313138	16313328
4	194400085	194400149
8	44558740	44558893
6	115551821	115551890
4	212217810	212217894
5	212637565	212638317
3	191944143	191944945
4	211358942	211359187
3	215266678	215266830
4	74054521	74054911
4	162302472	162302639
4	193593849	193594064
5	209458847	209459318
2	183508122	183508184
7	79306091	79306322
5	177352861	177352979
5	107748332	107748413
1	226303867	226304423
4	38557601	38558063
2	226489049	226489288
1	299108575	299108750
7	1887416	1887673
8	73146642	73146787
1	234645209	234645412
1	17016813	17016923
8	54235671	54235782
7	180909610	180910682
7	166765755	166765948
1	13591411	13591483
1	245760009	245760081
4	158821914	158822022
4	234698053	234698145
4	228381026	228381371
4	11010752	11010897
1	261083210	261083617
10	2943455	2943683
9	22753681	22754096
6	164647802	164648016
4	165048324	165048483
4	56282724	56282894
1	275016465	275016661
4	198185329	198185480
6	161273480	161273529
4	24642408	24642562
8	128725579	128725663
10	89548576	89548806
4	144474971	144475203
4	27572657	27572885
4	15832789	15834910
2	182516023	182516266
10	19806550	19806795
4	3428299	3428488
1	248752550	248752697
3	228992295	228992508
9	596315	596685
4	223799592	223799867
4	150411334	150411402
6	105289045	105289062
3	158421094	158421343
8	162550917	162551137
1	148692322	148692562
2	99820957	99821025
6	79418494	79418696
5	51276004	51276135
1	220843499	220843605
8	132602474	132605600
4	6222106	6222539
4	30328213	30328465
1	209951279	209951464
3	115125789	115125935
2	115470121	115470183
5	84179581	84180043
4	137347088	137347201
3	66326540	66326945
10	10546172	10546226
1	284183426	284183683
2	222257064	222257206
6	136411686	136411920
1	66653856	66654063
2	191290774	191291007
4	3828558	3828909
2	66468408	66468920
8	113173905	113174043
4	246522458	246522527
4	82764119	82764334
9	121367173	121367289
1	41460133	41460902
1	18024231	18026483
5	75327274	75327436
8	105525840	105526061
5	221856691	221856851
6	119935170	119935340
4	42664416	42664748
4	179852494	179852564
5	98074122	98074303
1	34653787	34654016
6	89527694	89527838
7	92836138	92836179
1	173690664	173690803
2	69141767	69141881
8	174793528	174793725
5	223003035	223003242
6	153683375	153683451
8	80852329	80852494
2	239068022	239068367
4	8455656	8456527
7	590911	592255
2	32471560	32471974
1	275843621	275844086
4	49921	49987
1	60784827	60786896
4	199330522	199330634
4	145548832	145548952
3	184471963	184472411
7	122578868	122581173
4	25104847	25104966
4	136016	136101
5	28903094	28903203
6	125690878	125690978
7	8981475	8981697
1	72480274	72480474
1	1892171	1892344
4	68238106	68239042
3	139013196	139013652
7	26879041	26879122
8	176010485	176010705
3	179776819	179777093
3	205987464	205987613
7	37777675	37779788
4	223174204	223174338
5	23458666	23458809
9	91212412	91212694
