seqid	start	end
7	82856122	82857584
1	239302471	239302834
8	2261318	2261604
5	124665404	124665608
9	77998293	78002783
4	206727217	206731508
6	40637438	40655537
10	46069634	46083330
4	140804795	140810501
5	35440317	35440411
9	99062507	99065958
9	99062507	99065958
1	236916858	236930733
4	162904179	162915374
5	213309198	213309948
5	35725458	35725590
10	73941098	73941257
10	73941098	73941257
3	166858659	166859218
4	74855767	74859102
8	88254716	88266509
5	57166641	57168055
4	27750716	27750907
1	277022895	277022943
5	203594524	203594556
1	69084081	69105738
2	185053635	185053977
4	26221368	26248050
2	164565439	164589545
6	18172127	18206464
4	63962036	63964830
6	62032711	62037325
4	6181205	6181294
2	67660842	67661101
9	125808295	125817828
9	38133101	38151589
2	125938578	125950305
4	191884211	191884336
5	7095308	7095988
4	181672689	181672732
2	168854631	168854740
1	80058237	80071482
1	6552369	6560700
3	131848446	131848517
7	73476049	73487307
2	38847054	38847098
5	165104760	165104918
7	177177622	177177736
1	18214946	18215055
7	149518097	149519283
7	25303356	25303424
1	62414596	62421570
7	172699106	172699227
9	104362999	104369013
1	127228160	127229695
1	212473918	212475975
6	165191772	165191859
6	101678376	101678794
7	169452602	169475884
6	77732142	77749981
9	24132179	24159185
3	84580740	84592884
4	189249009	189252261
B73V4_ctg181	99128	99250
3	25727693	25741259
3	120542363	120542455
5	11436932	11472925
4	88377108	88393137
9	126318751	126318802
Pt	10332	10409
7	48338521	48338674
4	56765228	56765508
10	62095261	62111472
2	74912052	74917451
3	220492336	220493806
1	271707695	271707952
1	214651649	214651738
2	115335860	115346562
6	159596854	159597135
5	15935245	15935390
1	288298009	288298316
4	97834679	97835140
3	198371107	198378948
1	272852262	272867093
4	53410288	53417068
6	39842434	39862204
6	99091107	99114237
5	25506891	25516663
8	145310813	145317905
9	142962003	142966130
8	141587214	141588265
8	141587214	141588265
9	25721442	25739419
4	41547315	41551169
5	135557023	135584951
3	207086634	207103097
4	231566647	231575924
7	70484050	70484176
5	56537050	56537315
4	205148306	205166981
4	181415660	181416170
10	110229361	110229562
5	145058746	145058979
5	101060043	101060161
6	88046736	88046975
4	152543736	152544021
8	126442675	126453939
2	217984702	217984736
10	9500616	9500680
7	124486858	124486945
6	2633155	2633645
7	84192476	84218026
6	97804696	97809260
7	36757048	36793742
5	192507499	192510031
8	150279774	150279880
2	229251175	229251303
6	157185634	157197118
4	8241695	8241804
1	252782378	252782552
2	101598103	101598337
9	110291792	110307653
7	59157379	59166075
1	234271559	234296881
7	146447404	146454626
2	219664042	219665397
4	98183943	98206246
3	43871766	43871862
3	157421968	157434834
2	74180371	74180860
2	150214952	150215021
7	130407485	130408117
2	239167057	239174256
1	138035832	138043302
3	73462384	73466098
4	200166884	200168134
4	131985244	132003706
10	7289842	7310586
2	239642884	239648115
2	239637049	239637163
8	59606691	59642585
7	25894935	25911177
4	4761855	4761997
3	35057742	35061243
3	119058352	119068542
1	138605235	138623475
3	20215721	20215735
4	35950295	35950421
8	23717224	23717271
2	33006024	33006190
9	77377699	77377736
7	95248993	95252041
7	129212767	129213257
9	103869143	103869316
5	141795989	141850219
3	229082887	229091762
6	152062715	152068928
8	140080271	140087343
1	240471401	240471514
4	213152861	213162575
4	140676175	140696238
1	16042549	16042816
9	73067923	73068252
3	769895	794524
4	180728106	180728231
7	23595434	23595545
B73V4_ctg150	1549663	1549785
B73V4_ctg150	1549663	1549785
2	108502886	108526467
4	176967859	176968026
4	20100669	20100810
8	175321698	175326018
2	86555749	86556241
7	35729434	35729516
3	41582277	41582443
5	30634662	30634808
10	112398199	112427108
2	210347486	210347675
1	264704344	264704408
3	203325052	203344962
1	204683614	204706189
5	62713178	62735949
3	102223360	102235644
1	65444078	65446195
1	70971227	70971411
4	124626872	124630588
1	77551777	77552716
9	127880298	127880389
8	137633585	137653988
7	68873845	68920155
1	118467169	118467225
3	36807819	36807921
3	4116777	4116894
1	125946270	125946361
4	240298741	240298863
5	158710506	158769759
6	42135665	42138657
1	190543849	190559600
10	94389129	94390751
4	84603519	84605295
4	84603519	84605295
8	151388046	151408517
8	91854599	91859598
10	94207367	94229146
1	286861809	286862041
4	207353749	207365075
5	55127933	55128190
10	13335468	13344561
4	148523293	148540797
8	75175937	75184951
6	108870167	108902024
3	40551028	40551076
9	52141834	52146794
2	70152805	70185855
9	134708297	134709996
4	9005303	9005438
9	98399648	98437383
7	176314691	176314803
3	234866499	234866579
8	122764987	122765327
8	26315659	26316026
2	56160774	56200012
10	24274592	24285889
2	230230223	230247160
9	5219591	5249664
2	119283175	119283228
B73V4_ctg89	21700	21887
2	228622320	228622476
1	165043873	165071291
7	24073785	24073830
8	174636530	174642314
5	77622124	77638144
2	6563450	6563770
2	225553096	225553154
4	200242165	200242273
5	205780004	205797764
7	180344741	180344845
9	18010990	18011501
2	207153106	207174845
9	137012051	137029190
7	163970652	163991185
3	57512369	57527080
4	69234442	69237539
1	37965336	37965717
4	208486116	208501452
4	108692120	108708013
7	141038207	141038374
4	40973129	40973242
2	218476404	218484324
8	176469889	176472048
4	160202445	160204399
4	56280168	56281893
8	132961741	132972572
10	22008084	22008187
4	95008388	95008589
6	93498530	93512127
1	7151866	7151962
1	27322787	27323136
10	79284013	79285615
2	8612333	8612548
9	58868275	58874671
7	11943307	11943439
3	223282508	223286843
6	170772724	170789599
7	7328847	7332824
5	198928283	198930198
10	23751855	23752379
1	297621927	297622244
5	135629174	135641540
2	203787983	203788095
7	163239668	163262011
7	144314269	144331814
6	136603457	136603599
10	83541029	83555871
10	80351684	80360768
2	182007416	182007523
7	127937519	127956945
3	167031068	167032706
3	167031068	167032706
1	93281076	93281215
1	180786581	180812866
5	138110768	138118892
10	88459965	88469188
5	207409393	207409827
4	65087101	65087176
1	196136012	196136060
4	29622631	29622767
3	225302925	225304662
6	103994065	104010521
1	222264512	222264706
8	136310165	136313759
1	19830410	19830658
2	202377416	202377632
6	77765408	77776140
9	152135056	152135157
2	194530126	194530229
5	195002968	195004175
2	227166771	227166927
5	71763524	71781415
4	178180135	178210179
1	222407498	222407992
5	217046524	217046917
7	109230843	109231009
1	302055582	302079623
7	101620472	101644833
10	34694888	34695891
3	46268908	46273892
9	10451083	10451335
9	102828771	102828848
10	146956118	146956262
1	275572119	275584216
8	135679437	135679527
1	185951835	185951911
5	138110439	138110511
5	138110439	138110511
5	108612369	108619745
2	162840035	162858911
4	150941162	150960726
10	142704315	142704389
10	90115127	90133461
4	9719828	9720743
8	81303884	81305241
10	115689962	115734114
7	168266798	168266991
1	263056364	263063460
9	95427831	95427940
4	136015536	136020230
8	107211308	107225414
3	140279643	140280139
2	188395790	188398814
6	6612616	6665956
4	20144942	20167861
3	185422915	185438520
9	156846057	156846184
9	25088033	25088254
3	185110749	185111087
3	10282732	10313737
10	3111880	3132524
8	73804131	73804242
3	212189431	212189782
4	237933587	237942435
9	100144468	100144593
5	23554813	23555173
7	174453689	174453811
1	213250932	213290085
6	28914503	28932821
1	64406461	64406620
7	182209145	182221695
5	180317562	180332876
1	191171842	191190337
9	29938491	29938530
2	160053562	160053687
3	18359263	18377190
9	156136894	156149274
1	69749556	69749656
4	7569500	7582099
5	116366758	116367251
1	285303525	285312880
1	39950767	39950813
7	133632838	133652241
2	124341334	124346119
3	205908429	205908547
6	116450329	116450626
1	66854705	66866558
1	205318803	205328331
10	98689589	98703276
8	95127422	95128709
9	57785109	57785863
8	97751098	97755803
5	54402051	54402128
3	193471389	193473131
10	4977445	4981886
4	145615283	145626613
10	60240455	60251915
4	14320011	14330555
5	207953310	207953412
4	197117349	197117636
6	171031841	171032105
2	131287331	131289343
2	131287331	131289343
4	24982114	24988930
1	117946774	117947029
1	103137196	103140134
9	121091021	121091080
1	36780102	36780148
5	193923688	193923810
7	136055624	136055691
6	48496929	48507053
1	159894273	159903316
5	222831701	222831777
5	222831701	222831777
2	78185744	78201003
5	24515998	24516092
5	120035095	120042367
2	231536067	231563279
3	40503274	40532764
1	264943188	264943516
3	35373253	35374924
4	171491748	171492665
8	134690572	134712295
6	108817118	108817349
3	130913315	130913498
8	77353292	77383713
1	274779805	274779866
7	137472143	137479118
6	113736910	113737003
9	130804158	130804505
3	51262140	51275313
6	76063172	76072193
3	199214422	199225125
5	28817088	28830631
3	145596048	145600309
5	141751230	141751433
8	167447772	167450925
1	158195030	158208659
1	98392590	98392956
7	142702810	142719557
3	109769962	109770189
3	109769962	109770189
1	262660703	262660935
2	129866718	129868054
1	289062838	289064549
1	289062838	289064549
8	17552329	17571015
9	112266280	112269674
4	5024519	5037607
8	105772261	105772373
8	105772261	105772373
2	188841757	188857693
1	8042389	8058920
7	26338245	26401461
4	53639494	53646629
7	77313893	77331047
3	141909943	141914473
5	193955677	193960081
3	38015087	38015592
4	230768227	230789668
1	302758646	302758855
8	107545639	107545975
2	8800309	8807402
8	168500823	168500944
4	31522439	31524751
4	80174877	80186147
8	3559710	3590711
3	65875082	65883823
3	73883972	73914804
5	38732987	38741186
4	81450108	81464547
9	136032426	136078475
6	2032307	2032448
4	222458465	222460509
3	211670025	211673357
10	135855046	135863438
