seqid	start	end
4	122450121	122450632
5	4778869	4779015
2	197296548	197297070
9	89034632	89035827
9	39829863	39830128
3	29913256	29913595
1	59749570	59749708
8	171689842	171691665
8	171689842	171691665
7	98152219	98154631
10	87319714	87319909
10	30960051	30968990
2	81390952	81391609
9	144272208	144287678
1	125523286	125526398
1	248299701	248299958
4	58919995	58920516
1	252329145	252329349
B73V4_ctg150	380873	381174
9	51383626	51383801
10	80371772	80373264
2	75685986	75687926
8	103400130	103406722
6	114966212	114970619
7	171331012	171345451
10	107624599	107626751
5	121208870	121210407
10	25438062	25441582
5	49607744	49608156
10	45419657	45429084
7	92059129	92059495
1	204326950	204327603
4	142571832	142572340
3	140179141	140180157
3	194200761	194201640
4	3755231	3758761
4	3755231	3758761
7	49609505	49623072
4	87640152	87640262
5	84196225	84218348
7	109147465	109149371
4	219300846	219319465
9	17347342	17347691
5	110773521	110784112
9	42537565	42537836
B73V4_ctg65	191834	193859
7	115259733	115262730
3	177396659	177398295
1	304025718	304047838
1	304025718	304047838
8	56394046	56394860
1	59340519	59340660
2	100868432	100869934
9	46803536	46811641
1	154115760	154119061
1	154115760	154119061
1	105664688	105664748
5	41757732	41771911
10	93097614	93111754
6	162003204	162003282
5	143174654	143175258
3	33513742	33521588
1	217007635	217007930
1	217007635	217007930
1	247038436	247038945
1	20851302	20852396
1	180249442	180251716
9	38976185	38982721
1	291615796	291635030
4	100744725	100745235
6	150566959	150574527
5	43000146	43004472
5	113543499	113571876
6	156175998	156176933
1	50683379	50691473
3	100795267	100804799
4	232633700	232635572
5	202033999	202034064
3	53950074	53953926
2	112239589	112239711
4	170624778	170626238
1	130144091	130144133
5	102765017	102768931
5	40327641	40350202
10	102418400	102418571
1	79094448	79094585
10	122734546	122737099
3	61680535	61681832
9	149737971	149762891
9	48526928	48527354
3	42400516	42410703
4	232608933	232608987
4	90071735	90071799
1	195793708	195798362
4	117270143	117271019
7	152372692	152372868
4	19583142	19590025
3	88233053	88236131
3	88233053	88236131
4	112998569	112999081
7	73224516	73243704
6	113413698	113416110
9	93455814	93457764
3	121375960	121376300
8	142460522	142463745
6	5028526	5054998
4	199014410	199021772
10	26038799	26069295
10	26038799	26069295
5	33608211	33612598
5	201370763	201370902
8	118435578	118452589
3	110271095	110271651
8	35795298	35809724
2	105172248	105172875
3	82360847	82371122
8	20016507	20017695
8	20016507	20017695
10	21700356	21714012
5	95559795	95560359
3	214932166	214946179
8	48694700	48722166
5	160573159	160573853
2	8760210	8767502
6	135971856	135982640
8	27604668	27604762
4	197651141	197651473
2	191097192	191097988
10	11382177	11382239
8	25049451	25049513
8	142681689	142689966
2	95927319	95929806
3	98733124	98733322
3	98733124	98733322
4	59589460	59590633
4	23721462	23723200
4	100419289	100419429
2	110610344	110614088
1	211486696	211494000
4	115540178	115542048
7	52902492	52902646
7	132357654	132359298
8	74690544	74692182
8	74690544	74692182
6	108410510	108411283
5	120135676	120136979
2	131181905	131190874
3	192961415	192961578
8	170879906	170880241
1	243083106	243084590
1	243083106	243084590
9	18583878	18584972
9	18583878	18584972
3	101754787	101763700
6	88925699	88933884
9	39458245	39482631
1	122803357	122811995
6	69502075	69504324
4	228050402	228050515
8	138266096	138290880
1	223581762	223582001
1	46648373	46648658
10	43727799	43736377
2	37488934	37489281
4	211948730	211950630
5	73149710	73163594
3	128063157	128064851
2	121987556	122014929
1	299599474	299599578
4	61759204	61764545
4	59295424	59295477
9	39800103	39800416
7	166937156	166937207
7	59930803	59930975
2	100446699	100447373
6	72256357	72259200
